strike,put price at period 1,put price at period 2,put price at period 3
50,0.01,0.01,0.02
55,0.02,0.01,0.029999999
60,0.01,0.01,0.02
65,0.01,0.029999999,0.050000001
70,0.01,0.029999999,0.059999999
75,0.01,0.039999999,0.100000001
80,0.01,0.050000001,0.129999995
85,0.01,0.07,0.180000007
90,0.01,0.109999999,0.239999995
95,0.029999999,0.140000001,0.330000013
100,0.039999999,0.189999998,0.49000001
105,0.050000001,0.25999999,0.620000005
110,0.07,0.370000005,0.939999998
115,0.100000001,0.519999981,1.299999952
120,0.140000001,0.75999999,1.730000019
125,0.230000004,1.090000033,2.299999952
130,0.389999986,1.610000014,3.099999905
135,0.720000029,2.319999933,4.050000191
140,1.309999943,3.319999933,5.309999943
145,2.420000076,4.699999809,6.900000095
150,4.25,6.599999905,8.819999695
155,6.800000191,9,11.14999962
160,10.44999981,12,14.07999992
165,14.75,15.77999973,17
170,19.64999962,20.04999924,21.78000069
175,24.04999924,23.62000084,25.64999962
180,29.95000076,30,30.37999916
185,35.36999893,34.99000168,34.99000168
190,42.04999924,38.79999924,40
195,45.5,45.25,44.86999893
200,50.20000076,50,61.20000076
205,61.15000153,50.20000076,58.15000153
210,66.15000153,60.20000076,57.18999863
215,78.65000153,74.55999756,59.25
220,83.65000153,70.15000153,65.94999695
225,88.65000153,70.05000305,68.19999695
230,93.65000153,79.75,82.80000305
235,88.25,62.88999939,0
240,89.31999969,91.44000244,97.19999695
245,108.6500015,105.5999985,0
250,100.8199997,111.0400009,76.90000153
255,105.8000031,0,117.6999969
260,108.5,115.6699982,0
265,118.4499969,0,0
270,133.6499939,124.3000031,0
275,134.5500031,0,0
280,130.8000031,138.3899994,132.8000031
