strike,call price at period 1,call price at period 2,call price at period 3
50,42.70000076,41.95000076,42.15999985
55,39.20999908,38.95000076,37.34999847
60,33.40000153,33.75,34.59999847
65,28.70000076,29.5,30.14999962
70,24.54999924,24.75,25.70000076
75,19.5,19.57999992,22.14999962
80,13.69999981,15.85999966,17.63999939
85,9.720000267,11.96000004,13.5
90,6.25,8.520000458,10.61999989
95,3.470000029,5.739999771,8.100000381
100,1.659999967,3.549999952,5.820000172
105,0.730000019,2.069999933,4.099999905
110,0.330000013,1.210000038,2.779999971
115,0.170000002,0.699999988,1.909999967
