strike,put price at period 1,put price at period 2,put price at period 3
50,0.01,0.050000001,0.230000004
55,0.01,0.100000001,0.379999995
60,0.02,0.209999993,0.589999974
65,0.050000001,0.349999994,0.939999998
70,0.109999999,0.620000005,1.5
75,0.25,0.99000001,2.200000048
80,0.529999971,1.649999976,3.099999905
85,1.169999957,2.710000038,4.449999809
90,2.410000086,4.230000019,6.300000191
95,4.599999905,6.400000095,8.449999809
100,7.75,9.329999924,11.47000027
105,11.89999962,13.19999981,14.10999966
110,16.59000015,17.04999924,18.23999977
115,21.45000076,21.79999924,22.75
